BRC code,Taxon name,Fam,FamA,OrdA,NS,CS,RS,Chg,Hght,Len,P1,P2,LF1,LF2,W,Clone1,Clone2,E1,E2,C,NBI,NEur,SBI,SEur,Origin,GB,IR,CI,Tjan,Tjul,Prec,Co,Br Habitats,L,F,R,N,S,Source for max height,Comment on life form,Comment on clonality,Comment on N and S limits in Europe
0920   504,Chrysanthemum segetum,Aste,Aste,Aste,AR,,,-1.80,60,,a,,Th,,h,0,,8,3,,,,,,,1682,471,10,3.8,14.8,1022,,4,7,5,6,5,0,Stace (1997) ,,,
0920   505,Chrysosplenium alternifolium,Saxi,Saxi,Saxi,N,,n,0.62,20,,p,,hc,,h,Stol2,,3,6,,0,>65,0,<45,,790,0,0,2.8,14.4,1042,,"11, 14",5,8,6,6,0,Stace (1991),,,
0920   506,Chrysosplenium oppositifolium,Saxi,Saxi,Saxi,N,,n,-0.36,15,,p,,Ch,hc,h,Node2,,7,2,,0,60-65,0,<45,,2067,688,6,3.4,14.3,1168,,"1, 14",5,9,5,5,0,Stace (1991),"genuinely intermediate, perhaps nearer chamaephyte",,
0920   507,Cicendia filiformis,Gent,Gent,Gent,N,,s,-0.70,10,,a,,Th,,h,0,,9,2,,0,55-60,0,<45,,66,37,5,5.4,15.6,1063,,10,9,8,3,2,0,Stace (1997),,,
0920   508,Cicerbita alpina,Aste,Aste,Aste,N,VU,r,,130,,p,,hc,,h,Rhiz2,,4,3,,0,>65,0,<45,,4,0,0,-1.3,10.5,1375,,"15, 16",7,6,6,6,0,Stace (1991),,"CTW imply that only C. macrophylla is far-creeping, but this is probably not true",
0920  2381,Cicerbita macrophylla,Aste,Aste,Aste,AN,,,,175,,p,,hc,,h,Rhiz2,,,,,,,,,Eur,724,42,0,3.3,14.9,920,,"3, 17",7,5,6,6,0,average of CTW (1962) and Stace (1997),,,
0920   509,Cichorium intybus,Aste,Aste,Aste,AR,,,-1.27,110,,p,,hc,,h,0,,8,4,,,,,,,1312,60,10,3.8,15.5,840,,3,8,4,7,5,0,average of CTW (1962) and Stace (1997),,,
0920   510,Cicuta virosa,Apia,Apia,Apia,N,,s,0.55,150,,p,,Hy,,h,0,,5,5,c,0,>65,0,<45,,139,139,0,3.5,14.8,926,,"11, 13, 14",7,10,7,5,0,Stace (1997),,,
0920   511,Circaea alpina,Onag,Onag,Myrt,N,,s,,30,,p,,Gn,,h,Rhiz2,,4,6,,0,>65,0,<45,,40,0,0,2.2,13.0,1836,,1,4,7,5,5,0,Stace (1997),,,
0920   512,Circaea alpina x lutetiana (C. x intermedia),Onag,Onag,Myrt,NH,,n,0.48,45,,p,,Gn,,h,Rhiz2,,7,3,,,,,,,570,49,0,2.7,13.4,1477,,1,4,6,6,6,0,Stace (1991),,,
0920   513,Circaea lutetiana,Onag,Onag,Myrt,N,,n,-0.38,60,,p,,Gn,,h,Rhiz2,,7,3,,0,60-65,0,<45,,2053,748,8,3.7,14.9,1041,,1,4,6,7,6,0,Stace (1997),,,
0920   514,Cirsium acaule,Aste,Aste,Aste,N,,n,-0.52,15,,p,,hc,,h,Rhiz1,,7,3,,0,55-60,0,<45,,734,0,3,3.7,16.1,742,,7,9,4,8,3,0,CTW (1962) - leaf length;  stem length rarely exceeding 10 cm (Stace 1997),,,
0920   515,Cirsium arvense,Aste,Aste,Aste,N,,n,0.47,120,,p,,Gn,,h,Root,,7,5,,0,>65,0,<45,,2736,968,14,3.6,14.5,1092,,"3, 4, 5, 6",8,6,7,6,0,Stace (1991),,,
0920   516,Cirsium dissectum,Aste,Aste,Aste,N,,n,-0.14,60,,p,,hc,,h,Rhiz2,,7,1,,1,55-60,0,<45,,539,553,2,4.0,15.0,1043,,11,8,8,4,2,0,average of Butcher (1961) and Stace (1997),,,
0920   517,Cirsium eriophorum,Aste,Aste,Aste,N,,n,-0.08,150,,b,,hc,,h,0,,7,3,,1,50-55,0,<45,,447,0,0,3.6,16.0,745,,7,8,4,8,5,0,Stace (1997) ,,,
0920   518,Cirsium heterophyllum,Aste,Aste,Aste,N,,n,-0.44,120,,p,,hc,,h,Rhiz1,,4,4,,0,>65,0,<45,,761,1,0,2.0,12.9,1476,,"6, 16",7,6,6,5,0,Stace (1997) ,,,
0920   520,Cirsium palustre,Aste,Aste,Aste,N,,n,0.15,175,,b,,hc,,h,0,,5,4,,0,>65,0,<45,,2697,955,12,3.5,14.5,1105,,"11, 14",7,8,5,4,0,average of CTW (1962) and Stace (1997),,,
0920   521,Cirsium tuberosum,Aste,Aste,Aste,N,VU,r,0.41,80,,p,,hc,,h,0,,8,2,,0,50-55,0,<45,,17,0,0,3.9,16.1,882,,7,8,6,8,3,0,average of CTW and Sell (draft),hemicryptophyte with tuberous roots;  comparable to Oenanthe pimpinelloides,,
0920   522,Cirsium vulgare,Aste,Aste,Aste,N,,n,0.80,150,,b,,hc,,h,0,,7,4,,0,>65,0,<45,,2789,980,14,3.5,14.5,1103,,"3, 5, 6, 7",7,5,6,6,0,Stace (1997) ,,,
0920   523,Cladium mariscus,Cype,Cype,Poal,N,,n,0.11,200,,p,,Hy,Gn,h,Rhiz1,,8,4,,0,60-65,0,<45,,232,258,1,4.1,14.7,1085,,11,8,10,8,4,0,Sell & Murrell (1996),Non-flowering meristems are all below ground (P & C 1994),,
0920   525,Claytonia perfoliata,Port,Port,Cary,AN,,,0.50,30,,a,,Th,,h,0,,,,,,,,,Am4,704,6,10,3.6,15.6,768,,"4, 17, 19",6,6,5,5,0,Stace (1997),,,
0920   524,Claytonia sibirica,Port,Port,Cary,AN,,,1.28,40,,a,p,Th,hc,h,0,,,,,,,,,"As2, Am4",1166,25,6,3.2,14.4,1092,,"1, 3",5,7,6,6,0,Stace (1997),"Butcher (1961) says annual, but Stace and CTW note that can be perennial.  It would then be a semi-rosette hemicryptophyte.",,
0920   528,Clematis vitalba,Ranu,Ranu,Ranu,N,,n,0.00,3000,,p,,Ph,,w,0,,7,3,,0,50-55,0,<45,,954,0,0,4.0,16.0,815,,3,6,4,8,5,0,Stace (1991),,,
0920    12,Clinopodium acinos,Lami,Lami,Lami,N,,n,-1.59,22,,a,,Th,,h,0,,7,3,,0,60-65,0,<45,,551,0,0,3.6,15.8,778,,16,8,2,8,1,0,average of CTW (1962) and Stace (1997),,,
0920   296,Clinopodium ascendens,Lami,Lami,Lami,N,,n,0.04,60,,p,,hc,,h,Rhiz1,,7,3,,1,50-55,0,<45,,657,64,2,4.2,15.9,854,,"3, 16",7,5,7,6,0,Stace (1997),,,
0920   298,Clinopodium calamintha,Lami,Lami,Lami,N,,s,-0.31,60,,p,,hc,,h,Rhiz2,,9,2,,1,50-55,0,<45,,129,0,4,3.7,16.4,641,,3,8,3,9,3,0,Stace (1997),,,
0920   297,Clinopodium menthifolium,Lami,Lami,Lami,N,EN,r,,60,,p,,hc,,h,Rhiz1,,7,3,,0,50-55,0,<45,,1,0,0,4.8,16.3,844,,1,5,5,8,5,0,Stace (1997),,CTW says that it is creeping;  assumed to be short-creeping,
0920   530,Clinopodium vulgare,Lami,Lami,Lami,N,,n,-0.67,77,,p,,hc,,h,Rhiz1,,7,6,,0,60-65,0,<45,,1317,0,2,3.5,15.4,880,,7,7,4,7,4,0,average of CTW (1962) and Stace (1997),,,
0920   532,Cochlearia anglica,Bras,Bras,Bras,N,,n,0.02,40,,b,p,hc,,h,0,,7,1,,0,55-60,0,<45,,297,95,0,4.5,15.6,917,Co,21,8,8,7,6,6,Rich (1991),,,
0920  3902,Cochlearia atlantica,Bras,Bras,Bras,NE,DD,r,,20,,p,,hc,,h,0,,4,1,,,,,,,2,0,0,4.4,12.8,1830,Co,18,8,6,7,5,4,Rich (1991),,,
0920   533,Cochlearia danica,Bras,Bras,Bras,N,,n,3.31,25,,a,,Th,,h,0,,7,1,,0,60-65,0,<45,,588,138,14,4.5,14.9,1056,Co,"3, 18",9,6,7,5,4,Rich (1991),,,
0920   534,Cochlearia micacea,Bras,Bras,Bras,NE,,s,,10,,b,p,hc,,h,0,,1,1,,,,,,,32,0,0,0.2,11.4,2221,,15,8,8,7,2,0,Rich (1991),basic design is a semi-rosette hemicryptophyte,,
0920   535,Cochlearia officinalis,Bras,Bras,Bras,N,,n,,30,,p,,hc,,h,0,,3,6,,0,>65,0,45-50,,1051,279,2,3.9,14.0,1246,Co,"18, 21",8,6,7,5,3,Rich (1991),semi-rosette hemicryptophyte,,
0920  2547,Cochlearia officinalis sens.lat.,Bras,Bras,Bras,N,,n,-0.18,30,,b,p,hc,,h,0,,3,6,,,,,,,1245,308,3,3.7,13.9,1287,,18,8,7,7,4,2,as C. officinalis,semi-rosette hemicryptophyte,,
0920  5422,Cochlearia pyrenaica,Bras,Bras,Bras,N,,s,,30,,b,p,hc,,h,0,,1,3,,1,55-60,0,<45,,124,5,0,1.5,12.9,1567,,"11, 16",8,7,8,3,0,Rich (1991),,,
0920   537,Coeloglossum viride,Orch,Orch,Aspa,N,,n,-1.34,22,,p,,Gn,,h,0,,4,6,,0,>65,0,<45,,964,214,0,3.2,14.1,1148,,7,7,4,6,2,0,average of CTW (1962) & Stace (1997),,,
0920  5396,Coincya monensis,Bras,Bras,Bras,N,,s,0.43,50,,b,,hc,,h,0,,8,2,,1,55-60,0,<45,,61,0,3,4.2,14.8,1037,,"3, 17, 19",9,4,6,3,0,Rich (1991),,,
0920  1690,Coincya wrightii,Bras,Bras,Bras,NE,VU,r,,90,,p,,Ch,hc,h,0,,7,1,,,,,,,1,0,0,5.8,15.7,986,Co,18,9,4,4,3,0,Rich (1991),"has much the character of a semi-rosette hemicryptophyte, but according to Rich (1991) stem is woody below",,
0920   538,Colchicum autumnale,Lili,Colc,Lili,N,,n,-0.14,35,,p,,Gn,,h,0tb,,7,3,,1,50-55,0,<45,,301,10,0,3.6,15.8,809,,6,6,6,6,4,0,Sell & Murrell (1996) - leaf length,,,
0920   539,Colutea arborescens,Faba,Faba,Faba,AN,,,,400,,p,,Ph,,w,0,,,,,,,,,Eur,166,3,0,3.7,16.3,671,,"3, 17",7,4,8,3,0,Stace (1997),,,
0920   540,Conium maculatum,Apia,Apia,Apia,AR,,,-0.02,250,,b,,hc,,h,0,,8,4,,,,,,,1847,476,13,3.9,15.2,915,,3,8,5,7,8,0,Stace (1997),,,
0920   541,Conopodium majus,Apia,Apia,Apia,N,,n,-0.19,40,,p,,Gn,,h,0,,7,1,,0,>65,0,<45,,2520,755,7,3.5,14.5,1102,,"1, 6",6,5,5,5,0,Stace (1997),,,
0920   622,Consolida ajacis,Ranu,Ranu,Ranu,AN,,,,60,,a,,Th,,h,0,,,,,,,,,Eur,360,4,7,3.8,16.2,703,,"3, 4, 17",8,4,8,4,0,CTW (1962),,,
0920   543,Convallaria majalis,Lili,Rusc,Aspa,N,,n,0.25,25,,p,,Gn,,h,Rhiz2,,5,3,,0,>65,0,<45,,439,0,0,3.3,15.5,831,,"1, 7",5,5,6,5,0,"Stace (1997) - this is also leaf length, average of CTW (1962) & Stace (1997)",,,
0920   544,Convolvulus arvensis,Conv,Conv,Sola,N,,n,-0.70,100,,p,,Gn,,h,Rhiz2,,8,4,,0,60-65,0,<45,,1841,435,14,3.8,15.2,929,,"3, 4",7,4,8,6,0,Stace (1997),a true geophyte; disappears well below ground in winter,underground organs probably mainly rhizomes (CPE equivocates on this),
0920   735,Conyza canadensis,Aste,Aste,Aste,AN,,,1.12,100,,a,,Th,,h,0,,,,,,,,,Am,1048,11,10,3.8,16.0,766,,"3, 4, 17, 19",7,4,7,6,0,CTW (1962),,,
0920  2633,Conyza sumatrensis,Aste,Aste,Aste,AN,,,,100,,a,,Th,,h,,,,,,,,,,SAm,154,1,12,4.2,16.5,716,,"3, 17",7,4,7,7,0,Stace (1997),,,
0920   545,Corallorhiza trifida,Orch,Orch,Aspa,N,,s,0.61,22,,p,,Gn,,h,0,,4,6,c,0,>65,0,<45,,102,0,0,2.5,13.5,956,,"1, 2",5,5,5,4,0,average of CTW (1962) & Stace (1997),,,
0920   546,Coriandrum sativum,Apia,Apia,Apia,AN,,,,50,,a,,Th,,h,0,,,,,,,,,Eur?,201,2,3,3.9,16.0,763,,"3, 17",8,4,6,5,0,Stace (1997),,,
0920   548,Cornus sanguinea,Corn,Corn,Corn,N,,n,-0.06,400,,p,,Ph,,w,Root,,7,3,,0,60-65,0,<45,,1179,52,1,3.7,15.8,810,,"1, 3",7,5,7,6,0,Stace (1997),,,
0920   549,Cornus sericea,Corn,Corn,Corn,AN,,,,300,,p,,Pn,Ph,w,0,Node1,,,,,,,,Am,421,111,0,3.5,15.0,936,,"1, 3, 17",6,7,5,6,0,Stace (1991),,"Mode of spread apparently similar to that of Solanum dulcamara, but personal observation would be useful",
0920   478,Cornus suecica,Corn,Corn,Corn,N,,n,-0.42,20,,p,,hc,,h,Rhiz2,,2,3,,0,>65,0,50-55,,218,0,0,0.9,11.6,1853,,"10, 15",6,6,1,2,0,Stace (1997),,,
0920   551,Coronopus didymus,Bras,Bras,Bras,AN,,,1.77,18,,a,,Th,,h,0,,,,,,,,,Unk,1284,315,14,4.1,15.5,921,,"4, 17",9,5,6,7,0,"Rich (1991) - half stem length, procumbent",,,
0920   552,Coronopus squamatus,Bras,Bras,Bras,AR,,,0.33,25,,a,,Th,,h,0,,8,3,,,,,,,1290,149,9,4.0,15.7,821,,"3, 4",7,5,7,7,0,"Rich (1991), one half stem length because procumbent",,,
0920   553,Corrigiola litoralis,Cary,Cary,Cary,N,CR,r,-0.96,25,,a,,Th,,h,0,,8,2,,0,50-55,0,<45,,2,0,0,6.2,16.0,1052,Co,19,8,7,5,5,0,Stace (1997),,,
0920   557,Corylus avellana,Betu,Betu,Faga,N,,n,-0.54,600,,p,,Ph,,w,0,,7,3,,0,>65,0,<45,,2470,870,5,3.5,14.6,1094,,"1, 3",4,5,6,6,0,Stace (1991),,,
0920   558,Corynephorus canescens,Poac,Poac,Poal,N,,r,0.01,32,,p,,hc,,h,0gr,,8,3,,0,55-60,0,<45,,22,0,3,4.1,16.2,649,Co,19,9,1,3,1,0,average of CTW (1962) & Stace (1997),,,
0920  2928,Cotoneaster bullatus,Rosa,Rosa,Rosa,AN,,,,400,,p,,Ph,,w,0,,,,,,,,,As1,237,10,0,3.7,15.3,965,,"1, 3, 16, 17",7,4,7,4,0,Stace (1997),,,
0920   561,Cotoneaster cambricus,Rosa,Rosa,Rosa,AN,EN,,,150,,p,,Pn,,w,0,,7,1,,,,,,Eur,1,0,0,5.4,15.5,796,,"7, 16",8,3,7,2,0,Stace (1997),,,
0920   560,Cotoneaster horizontalis,Rosa,Rosa,Rosa,AN,,,,100,,p,,Pn,,w,0,,,,,,,,,As1,855,63,2,3.8,15.5,933,,"3, 16, 17",8,3,8,4,0,Stace (1997),,,
0920   562,Cotoneaster integrifolius,Rosa,Rosa,Rosa,AN,,,,100,,p,,Pn,,w,0,,,,,,,,,As1,537,103,2,3.9,14.7,1194,,"3, 17",7,3,7,4,0,Stace (1997),,,
0920  3313,Cotoneaster microphyllus agg.,Rosa,Rosa,Rosa,AN,,,1.54,100,,p,,Pn,,w,0,,,,,,,,,As1,576,135,3,3.9,14.7,1174,,"3, 16, 17",7,3,7,4,0,"Stace (1991), same as C. integrifolius",,,
0920   563,Cotoneaster simonsii,Rosa,Rosa,Rosa,AN,,,3.55,300,,p,,Pn,Ph,w,0,,,,,,,,,As1,973,122,5,3.7,14.9,1086,,"3, 10, 16, 17",6,5,6,4,0,Stace (1997),,,
0920   565,Crambe maritima,Bras,Bras,Bras,N,,n,0.29,62,,p,,hc,,h,0,,7,3,,0,60-65,0,<45,,251,46,11,4.8,15.5,938,Co,19,9,5,8,7,3,average of Rich (1991) and Stace (1997),basically hemicryptophyte;  root sprouts only when disturbed,,
0920   566,Crassula aquatica,Cras,Cras,Saxi,NA,VU,r,,8,,a,,Hz,,h,0,Node1,7,6,c,0,>65,0,45-50,,2,0,0,3.2,14.0,1459,,14,8,9,5,5,0,Butcher (1961) - stem height,,,
0920  2423,Crassula helmsii,Cras,Cras,Saxi,AN,,,,10,30,p,,Hy,Ch,h,Irreg,Node2,,,,,,,,"Aus, NZ",604,8,8,3.8,15.8,826,,"13, 14",7,10,6,7,0,Stace (1991);  estimated canopy height (MOH),,,
0920   567,Crassula tillaea,Cras,Cras,Saxi,N,,s,0.86,5,,a,,Th,,h,0,,9,2,,1,50-55,0,<45,,104,0,11,4.1,16.2,734,,3,8,7,4,2,0,Stace (1997),,,
0920   570,Crataegus laevigata,Rosa,Rosa,Rosa,N,,n,0.32,1000,,p,,Ph,,w,0,,7,3,,0,55-60,0,<45,,597,0,1,3.5,16.2,674,,1,5,5,7,5,0,Stace (1991),,,
0920   569,Crataegus monogyna,Rosa,Rosa,Rosa,N,,n,-0.76,1000,,p,,Ph,,w,0,,7,3,,0,60-65,0,<45,,2496,946,13,3.6,14.7,1073,,"1, 3",6,5,7,6,0,Stace (1991),,,
0920   571,Crepis biennis,Aste,Aste,Aste,N,,n,-0.02,120,,b,,hc,,h,0,,7,3,,0,55-60,0,<45,,288,0,0,3.7,16.3,711,,"3, 6",8,5,7,6,0,Stace (1997) ,,,
0920   572,Crepis capillaris,Aste,Aste,Aste,N,,n,-0.17,75,,a,b,Th,hc,h,0,,7,3,,0,55-60,0,<45,,2525,907,14,3.6,14.6,1074,,7,7,4,7,4,0,Stace (1991),Authors differ as to whether mainly annual or biennial;  CTW say usually annual,,
0920   573,Crepis foetida,Aste,Aste,Aste,AR,EN,,,60,,b,a,hc,Th,h,0,,8,4,,,,,,,33,0,2,4.0,16.4,707,Co,19,9,4,6,3,0,Stace (1997) ,"CTW & Stace say ""annual or biennial"";  Butcher says biennial",,
0920   574,Crepis mollis,Aste,Aste,Aste,N,,r,-1.20,60,,p,,hc,,h,0,,7,3,c,0,55-60,0,<45,,75,0,0,1.7,13.2,1079,,7,8,5,7,5,0,Stace (1997) ,,,
0920   576,Crepis paludosa,Aste,Aste,Aste,N,,n,-0.27,80,,p,,hc,,h,0,,5,3,,0,>65,0,<45,,1162,357,0,2.7,13.4,1334,,"11, 16",6,7,6,4,0,Stace (1997) ,,,
0920  4518,Crepis praemorsa,Aste,Aste,Aste,N,EN,r,,60,,p,,hc,,h,0,,7,4,c,0,60-65,0,<45,,1,0,0,1.7,13.3,1333,,7,8,3,9,3,0,Stace (1997) ,,,
0920   578,Crepis vesicaria,Aste,Aste,Aste,AN,,,0.60,80,,b,,hc,,h,0,,,,,,,,,Eur,1227,302,14,4.1,15.7,858,,"3, 5, 6, 17",8,5,7,7,0,Stace (1991),,,
0920   579,Crithmum maritimum,Apia,Apia,Apia,N,,n,0.23,45,,p,,hc,,h,0,,9,1,,1,55-60,0,<45,,301,138,14,5.1,15.4,1042,Co,18,9,6,7,5,5,Stace (1997),,,
0920   580,Crocosmia aurea x pottsii (C. x crocosmiiflora),Irid,Irid,Aspa,AN,,,3.11,60,,p,,Gn,,h,Rhiz1,DRg,,,,,,,,Gard,1446,731,12,4.0,14.6,1129,,"1, 3, 17",7,6,4,4,0,Stace (1991),,,
0920   875,Cruciata laevipes,Rubi,Rubi,Gent,N,,n,-0.77,60,,p,,hc,,h,Rhiz2,,7,4,,1,55-60,0,<45,,1475,0,1,3.2,15.2,892,,6,6,5,7,5,0,Stace (1997),,,
0910   586,Cryptogramma crispa,Adia,Adia,Poly,N,,n,-0.63,15,,p,,hc,,h,0,,4,3,,0,>65,0,<45,,466,23,0,1.8,12.9,1678,,"10, 15, 16",7,5,2,3,0,Hutchinson & Thomas (1996),,,
0920   589,Cuscuta epithymum,Cusc,Conv,Sola,N,,n,-1.28,1,,a,,Th,,h,Stol2,,8,4,,0,55-60,0,<45,,494,27,12,4.3,15.9,846,,10,7,6,2,2,0,CTW (1962) - but this is diameter of heads,,anomalous;  an annual forming extensive clones but not rooting,
0920   590,Cuscuta europaea,Cusc,Conv,Sola,N,,s,0.04,2,,a,,Th,,h,Stol2,,7,4,,0,60-65,0,<45,,126,0,0,3.7,16.4,679,,14,6,7,6,7,0,CTW (1962) - but this is diameter of heads,,anomalous;  an annual forming extensive clones but not rooting,
0920   592,Cymbalaria muralis,Scro,Plan,Lami,AN,,,-0.10,8,,p,,Ch,,h,Node2,,,,,,,,,Eur,2059,619,14,3.7,15.0,990,,"3, 16, 17, 19",7,5,7,6,0,estimated canopy height (MOH),,,
0920   594,Cynodon dactylon,Poac,Poac,Poal,NA,VU,r,-0.10,30,,p,,hc,,h,Rhiz2,Node2,8,5,,0,50-55,0,<45,,2,0,0,6.4,15.6,1156,,"3, 5, 17",8,4,7,5,0,Stace (1991),,,
0920   595,Cynoglossum germanicum,Bora,Bora,Unpl,N,VU,r,-0.52,75,,p,,hc,,h,0,,7,3,c,1,50-55,0,<45,,50,0,0,3.7,16.5,676,,1,6,5,8,7,0,average of CTW (1962) and Stace (1997),,,
0920   596,Cynoglossum officinale,Bora,Bora,Unpl,N,,n,-1.09,75,,p,,hc,,h,0,,7,4,,0,60-65,0,<45,,718,42,5,3.9,15.8,780,,"7, 19",8,4,8,6,1,average of CTW (1962) and Stace (1997),,,
0920   597,Cynosurus cristatus,Poac,Poac,Poal,N,,n,0.02,75,,p,,hc,,h,0gr,,7,3,,0,60-65,0,<45,,2745,962,13,3.5,14.5,1103,,"5, 6",7,5,6,4,0,Stace (1997),,,
0920   599,Cyperus fuscus,Cype,Cype,Poal,N,VU,r,-0.32,20,,a,,Th,,h,0,,8,4,,0,55-60,0,<45,,11,0,2,4.4,16.6,758,,13,9,8,5,4,0,Stace (1997),,,
0920   600,Cyperus longus,Cype,Cype,Poal,N,,s,2.22,100,,p,,hc,,h,Rhiz1,,8,3,,1,50-55,0,<45,,33,0,12,5.7,16.1,943,,"11, 13",8,9,7,5,0,Stace (1997),,,
0920   601,Cypripedium calceolus,Orch,Orch,Aspa,N,CR,r,,30,,p,,Gn,,h,Rhiz1,,5,6,c,0,>65,0,<45,,22,0,0,2.2,13.9,1270,,7,5,4,8,4,0,Stace (1997),,herb with creeping rhizome (CTW),
0910   602,Cystopteris dickieana,Wood,Wood,Poly,N,VU,r,,20,,p,,hc,,h,0,,?,?,,,,,,,5,0,0,0.9,12.3,1379,,16,5,7,8,2,0,Page (1997),,,Native range doubtful
0910   603,Cystopteris fragilis,Wood,Wood,Poly,N,,n,-0.69,20,,p,,hc,,h,0,,3,6,,0,>65,0,<45,,1118,191,0,2.6,13.5,1361,,16,6,7,8,4,0,Page (1997),,,
0910   604,Cystopteris montana,Wood,Wood,Poly,N,,r,-0.25,15,,p,,hc,,h,Rhiz2,,4,6,,0,>65,0,<45,,22,0,0,-0.2,11.3,2151,,"15, 16",5,7,9,2,0,Page (1997),,,
0920  1822,Cytisus scoparius,Faba,Faba,Faba,N,,n,0.00,200,,p,,Pn,,w,0,,7,3,,1,55-60,0,<45,,2288,553,10,3.4,14.6,1085,,3,8,5,4,4,0,CTW (1962),,,
0920   605,Daboecia cantabrica,Eric,Eric,Eric,N,,o,0.12,50,,p,,Ch,Pn,w,0,,8,1,,1,50-55,0,<45,,0,33,0,4.5,14.4,1265,,10,8,5,3,2,0,Stace (1997),dwarf shrub,,
0920   607,Dactylis glomerata,Poac,Poac,Poal,N,,n,-0.06,120,,p,,hc,,h,0gr,,8,4,,0,>65,0,<45,,2707,981,14,3.6,14.5,1091,,"5, 6",7,5,7,6,0,average of CTW (1962) & Stace (1997),,,
0920   608,Dactylorhiza fuchsii,Orch,Orch,Aspa,N,,n,0.33,50,,p,,Gn,,h,0,,7,4,,0,>65,0,<45,,2214,774,5,3.5,14.7,1063,,11,7,8,7,3,0,Stace (1997),,,
0920   609,Dactylorhiza incarnata,Orch,Orch,Aspa,N,,n,-0.33,45,,p,,Gn,,h,0,,5,4,,0,>65,0,<45,,1189,331,3,3.6,14.4,1127,,11,8,9,6,2,0,average of CTW (1962) & Stace (1997),,,
0920  2964,Dactylorhiza lapponica,Orch,Orch,Aspa,N,,s,,21,,p,,Gn,,h,0,,4,3,,,,,,,18,0,0,3.2,12.5,1910,,11,8,8,6,2,0,Sell & Murrell (1996),,,Not now regarded as specifically distinct
0920   610,Dactylorhiza maculata,Orch,Orch,Aspa,N,,n,-0.42,40,,p,,Gn,,h,0,,5,4,,0,>65,0,<45,,2018,687,7,3.4,14.1,1221,,12,7,7,3,2,0,Stace (1997),,,
0920   611,Dactylorhiza majalis,Orch,Orch,Aspa,N,,r,-0.41,30,,p,,Gn,,h,0,,7,3,,,,,,,26,159,0,4.7,14.4,1237,,11,7,7,5,3,0,Stace (1997),,,Native range doubtful (relationship to other taxa with this name in Europe unclear)
0920   612,Dactylorhiza praetermissa,Orch,Orch,Aspa,N,,n,0.84,50,,p,,Gn,,h,0,,7,1,,0,55-60,0,45-50,,1009,0,5,3.9,15.9,849,,11,8,8,7,3,0,Stace (1997),,,
0920   613,Dactylorhiza purpurella,Orch,Orch,Aspa,N,,n,0.47,25,,p,,Gn,,h,0,,4,1,,0,60-65,1,50-55,,1202,151,0,3.1,13.5,1244,,11,8,8,7,2,1,Stace (1997),,,
0920   614,Dactylorhiza traunsteineri,Orch,Orch,Aspa,N,,s,0.78,30,,p,,Gn,,h,0,,5,4,,,,,,,74,40,0,3.9,14.9,978,,11,8,8,7,2,0,Stace (1997),,,Now regarded as endemic D. traunsteinerioides
0920   615,Damasonium alisma,Alis,Alis,Alis,N,EN,r,-0.52,30,,a,,Hz,,h,0,,9,1,,1,50-55,0,<45,,54,0,0,3.9,16.5,707,,13,8,10,5,3,0,Stace (1997),,,
0920  1915,Danthonia decumbens,Poac,Poac,Poal,N,,n,-0.40,40,,p,,hc,,h,0gr,,7,3,,0,60-65,0,<45,,2368,814,11,3.5,14.3,1160,,"7, 8",7,6,4,2,0,Stace (1997),,,
0920   617,Daphne laureola,Thym,Thym,Malv,N,,n,0.10,100,,p,,Pn,,w,0,,9,2,,1,50-55,0,<45,,844,0,6,3.7,16.0,760,,1,4,5,7,5,0,CTW (1962),,,
0920   618,Daphne mezereum,Thym,Thym,Malv,NA,,s,-0.06,100,,p,,Pn,,w,0,,5,4,,0,>65,0,<45,,110,0,0,3.5,15.8,890,,1,4,5,7,6,0,CTW (1962),,,
0920   619,Datura stramonium,Sola,Sola,Sola,AN,,,-0.71,100,,a,,Th,,h,0,,,,,,,,,Am?,801,7,11,3.9,15.9,796,,17,8,4,7,8,1,CTW (1962),,,
0920  5474,Daucus carota,Apia,Apia,Apia,N,,n,-0.59,100,,b,,hc,,h,0,,8,4,,0,60-65,0,<45,,1845,797,14,4.0,15.0,989,,"6, 7",8,4,7,3,2,CTW (1962),,,
0920  5475,Daucus carota subsp.sativus,Apia,Apia,Apia,AC,,,,120,,b,,hc,,h,0,,,,,,,,,Crop,39,1,1,3.6,14.7,913,,17,7,5,7,8,0,subsp. carota + 20 cm,,,
0920   627,Deschampsia cespitosa,Poac,Poac,Poal,N,,n,-0.09,150,,p,,hc,,h,0gr,DRi,3,6,,0,>65,0,<45,,2684,837,3,3.5,14.4,1099,,"1, 6",6,6,5,4,0,Stace (1991),,,
0920   628,Deschampsia flexuosa,Poac,Poac,Poal,N,,n,-0.22,60,,p,,hc,,h,0gr,,5,3,,0,>65,0,<45,,2298,440,3,3.2,14.1,1177,,"8, 10",6,5,2,3,0,Stace (1991),,,
0920   629,Deschampsia setacea,Poac,Poac,Poal,N,,s,-0.04,70,,p,,hc,,h,0gr,,7,1,,1,60-65,0,<45,,125,11,0,3.5,13.6,1211,,"12, 13",8,9,2,1,0,Stace (1997),,,
0920   630,Descurainia sophia,Bras,Bras,Bras,AR,,,-0.29,100,,a,,Th,,h,0,,7,4,,,,,,,636,31,1,3.6,15.6,738,,4,8,4,7,6,0,Rich (1991),,,
